date,state,fips,cases,deaths
2020-03-08,Connecticut,09,1,0
2020-03-09,Connecticut,09,2,0
2020-03-10,Connecticut,09,2,0
2020-03-11,Connecticut,09,3,0
2020-03-12,Connecticut,09,6,0
2020-03-13,Connecticut,09,11,0
2020-03-14,Connecticut,09,20,0
2020-03-15,Connecticut,09,26,0
2020-03-16,Connecticut,09,41,0
2020-03-17,Connecticut,09,68,0
2020-03-18,Connecticut,09,96,1
2020-03-19,Connecticut,09,159,4
2020-03-20,Connecticut,09,194,4
2020-03-21,Connecticut,09,223,5
2020-03-22,Connecticut,09,327,8
2020-03-23,Connecticut,09,415,10
2020-03-24,Connecticut,09,618,12
2020-03-25,Connecticut,09,875,19
2020-03-26,Connecticut,09,1012,21
2020-03-27,Connecticut,09,1291,27
2020-03-28,Connecticut,09,1524,33
2020-03-29,Connecticut,09,1993,34
2020-03-30,Connecticut,09,2571,36
2020-03-31,Connecticut,09,3128,69
2020-04-01,Connecticut,09,3557,85
2020-04-02,Connecticut,09,3824,112
2020-04-03,Connecticut,09,4915,132
2020-04-04,Connecticut,09,5276,165
2020-04-05,Connecticut,09,5675,189
2020-04-06,Connecticut,09,6906,206
2020-04-07,Connecticut,09,7781,277
2020-04-08,Connecticut,09,8781,335
2020-04-09,Connecticut,09,9784,380
2020-04-10,Connecticut,09,10538,448
