date,state,fips,cases,deaths
2020-03-01,Florida,12,2,0
2020-03-02,Florida,12,2,0
2020-03-03,Florida,12,3,0
2020-03-04,Florida,12,3,0
2020-03-05,Florida,12,4,0
2020-03-06,Florida,12,7,2
2020-03-07,Florida,12,12,2
2020-03-08,Florida,12,13,2
2020-03-09,Florida,12,14,2
2020-03-10,Florida,12,23,2
2020-03-11,Florida,12,26,2
2020-03-12,Florida,12,46,2
2020-03-13,Florida,12,70,2
2020-03-14,Florida,12,70,3
2020-03-15,Florida,12,109,3
2020-03-16,Florida,12,141,4
2020-03-17,Florida,12,210,6
2020-03-18,Florida,12,326,7
2020-03-19,Florida,12,434,8
2020-03-20,Florida,12,564,9
2020-03-21,Florida,12,764,11
2020-03-22,Florida,12,1000,13
2020-03-23,Florida,12,1222,18
2020-03-24,Florida,12,1467,19
2020-03-25,Florida,12,1965,23
2020-03-26,Florida,12,2477,29
2020-03-27,Florida,12,3198,46
2020-03-28,Florida,12,4038,56
2020-03-29,Florida,12,4942,59
2020-03-30,Florida,12,5694,71
2020-03-31,Florida,12,6741,85
2020-04-01,Florida,12,7765,100
2020-04-02,Florida,12,9000,144
2020-04-03,Florida,12,10260,169
2020-04-04,Florida,12,11537,194
2020-04-05,Florida,12,12342,220
2020-04-06,Florida,12,13621,253
2020-04-07,Florida,12,14739,295
2020-04-08,Florida,12,15690,322
2020-04-09,Florida,12,16819,370
2020-04-10,Florida,12,17960,418
