date,state,fips,cases,deaths
2020-02-12,Texas,48,1,0
2020-02-13,Texas,48,2,0
2020-02-14,Texas,48,2,0
2020-02-15,Texas,48,2,0
2020-02-16,Texas,48,2,0
2020-02-17,Texas,48,2,0
2020-02-18,Texas,48,2,0
2020-02-19,Texas,48,2,0
2020-02-20,Texas,48,2,0
2020-02-21,Texas,48,4,0
2020-02-22,Texas,48,4,0
2020-02-23,Texas,48,4,0
2020-02-24,Texas,48,10,0
2020-02-25,Texas,48,10,0
2020-02-26,Texas,48,10,0
2020-02-27,Texas,48,10,0
2020-02-28,Texas,48,11,0
2020-02-29,Texas,48,11,0
2020-03-01,Texas,48,11,0
2020-03-02,Texas,48,11,0
2020-03-03,Texas,48,11,0
2020-03-04,Texas,48,12,0
2020-03-05,Texas,48,16,0
2020-03-06,Texas,48,19,0
2020-03-07,Texas,48,19,0
2020-03-08,Texas,48,23,0
2020-03-09,Texas,48,24,0
2020-03-10,Texas,48,31,0
2020-03-11,Texas,48,33,0
2020-03-12,Texas,48,41,0
2020-03-13,Texas,48,58,0
2020-03-14,Texas,48,69,0
2020-03-15,Texas,48,80,0
2020-03-16,Texas,48,87,1
2020-03-17,Texas,48,106,1
2020-03-18,Texas,48,166,2
2020-03-19,Texas,48,248,4
2020-03-20,Texas,48,377,5
2020-03-21,Texas,48,547,5
2020-03-22,Texas,48,632,7
2020-03-23,Texas,48,728,7
2020-03-24,Texas,48,857,11
2020-03-25,Texas,48,1119,12
2020-03-26,Texas,48,1543,21
2020-03-27,Texas,48,1942,23
2020-03-28,Texas,48,2161,29
2020-03-29,Texas,48,2712,35
2020-03-30,Texas,48,3043,46
2020-03-31,Texas,48,3576,57
2020-04-01,Texas,48,4261,63
2020-04-02,Texas,48,4880,79
2020-04-03,Texas,48,5669,97
2020-04-04,Texas,48,6566,124
2020-04-05,Texas,48,7094,137
2020-04-06,Texas,48,8115,160
2020-04-07,Texas,48,8974,178
2020-04-08,Texas,48,9900,195
2020-04-09,Texas,48,11372,228
2020-04-10,Texas,48,12288,247
